codigo,n_obs,combined,qs_p,fried_p,kw_p,wo,seasdum_p,ocsb_stat,Q,M7,qs_sa_x11,qs_sa_seats,l3_x11,l3_seats,metodo,razao,status
20636,184,Present,0,0,0,TRUE,0,-1.3567949935428458,0.4220093317615413,0.43336250584122865,0.175687810125922,1,0.934618985317733,0.984730596717421,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20637,184,Present,2.3332242105045253e-7,1.511018454802837e-8,8.555783918007265e-7,TRUE,3.9015516973939235e-5,-7.289632356250544,0.9409681259966441,0.5876428898197816,0.574020193449081,0.207839283631946,0.951107775663011,0.953893124770487,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20638,184,Present,0,3.7335146085837323e-10,2.9311775229245995e-11,TRUE,7.123168721534512e-11,-5.716921240963039,1.1326973306538224,0.83706968933400006,1,0.681782764316582,0.917727785436931,0.855623621465866,seats,"Q = 1.13 > 1, decomposição X-11 fraca",ajustada
20639,184,Present,9.647218023313142e-4,8.706151355397651e-10,2.408678811960385e-10,TRUE,2.0175944689393432e-6,-6.356016888975259,1.3795601352229505,0.6435158847850311,1,1,0.508758681561697,0.812874532589909,seats,"Q = 1.38 > 1, decomposição X-11 fraca",ajustada
20640,184,Present,2.8517442740572108e-8,1.2953971229023864e-11,1.2740919430598296e-11,TRUE,1.0880185641326534e-14,-6.604672432473452,0.6761780472832841,0.4735634872079191,1,1,0.852471734778588,0.822372677430545,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20641,184,Present,0,1.2222164941344538e-5,5.284660598015023e-9,TRUE,6.10178574333986e-13,-7.43306207199202,0.7540627874869213,0.7292404168413674,1,1,0.958685509557538,0.986314565423469,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20642,184,Present,5.750955267558311e-14,1.1501910535116622e-13,5.440092820663267e-15,TRUE,0,-4.9678714244668924,0.749856973834172,0.36835913781328083,1,1,0.97219757157682,0.954297573531768,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20643,184,Present,4.1744385725905886e-14,1.0082690238277792e-10,2.429723089392155e-12,TRUE,1.3034018309099338e-13,-5.983572553177288,0.8028568470364911,0.5785667550806901,1,0.952735759201978,0.614829218313813,0.8991711023448,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20644,184,Present,2.3758329747991525e-9,9.650502619251711e-11,2.7797431023657282e-11,TRUE,8.875788992668276e-11,-5.975478399847341,0.5754127874036046,0.5237225940163277,1,1,0.692844987589944,0.480734621188268,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20645,184,Present,0,2.0347945550724944e-11,3.2523206350276723e-11,TRUE,7.882583474838611e-15,-4.732407745255781,0.5104885238999748,0.35569597766743954,0.980680845910376,1,0.346104181215201,0.0739885913759327,x11,"empate nos diagnósticos, X-11 por robustez",ajustada
20646,184,None,5.097109991858417e-7,1.778172564748104e-8,3.9216931368990515e-8,TRUE,8.111934501897622e-8,-6.947658983893202,1.0062888870005533,1.143243065743191,1,1,0.797831178666444,0.465638693152073,nenhum,teste combinado: None,sem_sazonalidade
