codigo,date,value_sa
20636,2011-03-01,10411.065323334136
20636,2011-04-01,10713.14234309018
20636,2011-05-01,10915.287157294048
20636,2011-06-01,10699.650379269196
20636,2011-07-01,10918.238885311617
20636,2011-08-01,11731.834071030631
20636,2011-09-01,10680.148410419306
20636,2011-10-01,10943.493353025786
20636,2011-11-01,11143.487933031318
20636,2011-12-01,8959.75677747845
20636,2012-01-01,11756.55755322656
20636,2012-02-01,11650.881639696705
20636,2012-03-01,11812.614259089169
20636,2012-04-01,11847.575564135683
20636,2012-05-01,11990.55519315103
20636,2012-06-01,11837.020933498161
20636,2012-07-01,12546.25750646847
20636,2012-08-01,13625.766501792301
20636,2012-09-01,11405.44138646241
20636,2012-10-01,12836.957489430473
20636,2012-11-01,12882.575949684786
20636,2012-12-01,10625.929758081033
20636,2013-01-01,14793.34815616149
20636,2013-02-01,13793.142698596623
20636,2013-03-01,13782.3546135661
20636,2013-04-01,14594.271141262649
20636,2013-05-01,14766.618934949918
20636,2013-06-01,15284.469027544497
20636,2013-07-01,15751.721484584286
20636,2013-08-01,15772.289305235829
20636,2013-09-01,15604.096280360394
20636,2013-10-01,15970.526100419436
20636,2013-11-01,16614.102809376574
20636,2013-12-01,13609.808972251669
20636,2014-01-01,16326.512678546998
20636,2014-02-01,16935.255106945548
20636,2014-03-01,15709.81921890265
20636,2014-04-01,16335.781414573816
20636,2014-05-01,16562.52002943418
20636,2014-06-01,15530.226492861375
20636,2014-07-01,15656.267766155615
20636,2014-08-01,14679.07673574663
20636,2014-09-01,15530.599515968994
20636,2014-10-01,15551.319980072452
20636,2014-11-01,14595.486307187952
20636,2014-12-01,14951.677077262324
20636,2015-01-01,14895.311065329275
20636,2015-02-01,14203.72308673715
20636,2015-03-01,15135.440630295836
20636,2015-04-01,14853.194822794623
20636,2015-05-01,13848.661357498415
20636,2015-06-01,14646.607293781348
20636,2015-07-01,14198.677419734233
20636,2015-08-01,14467.468965968477
20636,2015-09-01,15177.425762704279
20636,2015-10-01,14499.527325199046
20636,2015-11-01,14473.359572394897
20636,2015-12-01,14680.158510268215
20636,2016-01-01,13953.679055511238
20636,2016-02-01,12542.89779172182
20636,2016-03-01,13631.968665980514
20636,2016-04-01,12828.519503572641
20636,2016-05-01,13695.164250048621
20636,2016-06-01,13634.704557257786
20636,2016-07-01,12561.41537899471
20636,2016-08-01,13749.818379245537
20636,2016-09-01,14160.09256020429
20636,2016-10-01,14496.746935846777
20636,2016-11-01,15254.710895435985
20636,2016-12-01,14701.263865410097
20636,2017-01-01,15582.568556233584
20636,2017-02-01,17492.008435857806
20636,2017-03-01,18867.827455666127
20636,2017-04-01,16913.279629062992
20636,2017-05-01,18776.716082864365
20636,2017-06-01,22810.966832280366
20636,2017-07-01,20218.626719366883
20636,2017-08-01,21132.497411031156
20636,2017-09-01,20958.755239231356
20636,2017-10-01,20000.155010999402
20636,2017-11-01,21961.206364463167
20636,2017-12-01,23935.86659754887
20636,2018-01-01,24876.515990501073
20636,2018-02-01,23503.265123955895
20636,2018-03-01,24034.1145401895
20636,2018-04-01,25853.146844278235
20636,2018-05-01,26387.50714546949
20636,2018-06-01,26610.252815632422
20636,2018-07-01,28386.489170822206
20636,2018-08-01,28113.86347513753
20636,2018-09-01,27058.63854069887
20636,2018-10-01,29350.17409591454
20636,2018-11-01,28110.24633455368
20636,2018-12-01,28068.677832948662
20636,2019-01-01,27868.29961791971
20636,2019-02-01,30360.478647076612
20636,2019-03-01,27590.80294772445
20636,2019-04-01,28757.472844645126
20636,2019-05-01,33015.683263418156
20636,2019-06-01,31941.43597482958
20636,2019-07-01,32125.121282941083
20636,2019-08-01,32466.828621516474
20636,2019-09-01,34752.3900099741
20636,2019-10-01,33544.39617400698
20636,2019-11-01,35545.66322422649
20636,2019-12-01,35943.733595939644
20636,2020-01-01,36842.76187602322
20636,2020-02-01,38261.47046714153
20636,2020-03-01,40124.12843979346
20636,2020-04-01,28836.331326524225
20636,2020-05-01,27177.056797185098
20636,2020-06-01,27372.323189276984
20636,2020-07-01,29492.276727615797
20636,2020-08-01,31493.50062579739
20636,2020-09-01,33033.9325552105
20636,2020-10-01,35274.090070024555
20636,2020-11-01,36656.19898126825
20636,2020-12-01,40934.84378180371
20636,2021-01-01,41369.96290184314
20636,2021-02-01,44821.64995880844
20636,2021-03-01,52362.03083221489
20636,2021-04-01,52701.93841884465
20636,2021-05-01,50335.780290003415
20636,2021-06-01,56167.94134360906
20636,2021-07-01,55339.25425705574
20636,2021-08-01,57813.2519180694
20636,2021-09-01,56459.30496262322
20636,2021-10-01,61429.06228913776
20636,2021-11-01,63586.32100705684
20636,2021-12-01,61233.04960182169
20636,2022-01-01,64083.23734844428
20636,2022-02-01,63964.57299746042
20636,2022-03-01,65723.76235571569
20636,2022-04-01,68302.4472762166
20636,2022-05-01,68792.78953850399
20636,2022-06-01,65276.99362796036
20636,2022-07-01,68924.00126780896
20636,2022-08-01,72083.05677176976
20636,2022-09-01,69635.6293649512
20636,2022-10-01,65761.79117820461
20636,2022-11-01,65911.36846758873
20636,2022-12-01,65554.89910835757
20636,2023-01-01,67578.76322429108
20636,2023-02-01,60996.89370495937
20636,2023-03-01,62147.39180372578
20636,2023-04-01,55283.02873109729
20636,2023-05-01,62295.02863186821
20636,2023-06-01,60720.70019087536
20636,2023-07-01,51579.96536058446
20636,2023-08-01,58141.33759513458
20636,2023-09-01,62493.96963229164
20636,2023-10-01,57071.58545018456
20636,2023-11-01,59864.859172315344
20636,2023-12-01,61517.64359535812
20636,2024-01-01,58889.54993639554
20636,2024-02-01,66491.85906732459
20636,2024-03-01,66645.46540835578
20636,2024-04-01,66280.17810919102
20636,2024-05-01,68631.99721054126
20636,2024-06-01,75067.97482778864
20636,2024-07-01,72937.4513273604
20636,2024-08-01,74360.9368825466
20636,2024-09-01,74235.4182771902
20636,2024-10-01,83708.03678019636
20636,2024-11-01,81695.45304645222
20636,2024-12-01,74839.2872334147
20636,2025-01-01,87316.81812158208
20636,2025-02-01,86280.26904927893
20636,2025-03-01,78265.65899312006
20636,2025-04-01,89385.25556986978
20636,2025-05-01,97169.34340829254
20636,2025-06-01,57582.7394756214
20636,2025-07-01,68672.87340169035
20636,2025-08-01,67657.66495193758
20636,2025-09-01,72089.7398546156
20636,2025-10-01,70589.50728339306
20636,2025-11-01,65648.37806032799
20636,2025-12-01,79644.02010796707
20636,2026-01-01,77387.44706651391
20636,2026-02-01,79394.3185304009
20636,2026-03-01,80933.89870480432
20636,2026-04-01,83663.57072330672
20636,2026-05-01,80164.02912203946
20636,2026-06-01,82689.55395535639
20637,2011-03-01,4678.91841923087
20637,2011-04-01,4400.405966169437
20637,2011-05-01,4576.465021825631
20637,2011-06-01,4605.521551412083
20637,2011-07-01,4339.49656084588
20637,2011-08-01,4583.586401097717
20637,2011-09-01,4429.1448115829535
20637,2011-10-01,3894.958893904852
20637,2011-11-01,4430.337502537602
20637,2011-12-01,4346.428996397918
20637,2012-01-01,4309.630425702312
20637,2012-02-01,4360.763770625526
20637,2012-03-01,4442.547975310311
20637,2012-04-01,4312.420189101119
20637,2012-05-01,4485.766768659079
20637,2012-06-01,4341.074566254997
20637,2012-07-01,4394.91193986034
20637,2012-08-01,4551.014784910363
20637,2012-09-01,3995.936212418198
20637,2012-10-01,4441.21874962381
20637,2012-11-01,4431.556317550984
20637,2012-12-01,4140.566183987895
20637,2013-01-01,4460.0006737684635
20637,2013-02-01,4235.019905368061
20637,2013-03-01,4012.4924940601563
20637,2013-04-01,4438.626303818357
20637,2013-05-01,4168.891051949956
20637,2013-06-01,4099.837266821426
20637,2013-07-01,4225.276028463838
20637,2013-08-01,4057.690110796413
20637,2013-09-01,3885.176511306082
20637,2013-10-01,4048.912606901301
20637,2013-11-01,3908.9595315362562
20637,2013-12-01,3869.205443519742
20637,2014-01-01,3925.5325909036505
20637,2014-02-01,4058.391322925558
20637,2014-03-01,3450.4099932030526
20637,2014-04-01,3716.4703361360093
20637,2014-05-01,3618.596827188683
20637,2014-06-01,3483.9605265432956
20637,2014-07-01,3547.4804580203963
20637,2014-08-01,3325.6705292954757
20637,2014-09-01,3632.561501494795
