codigo,date,value_sa
20636,2011-03-01,10411.069396138964
20636,2011-04-01,10713.138316004088
20636,2011-05-01,10915.28703676602
20636,2011-06-01,10699.650202090053
20636,2011-07-01,10918.238682846684
20636,2011-08-01,11731.834263009829
20636,2011-09-01,10680.148045061225
20636,2011-10-01,10943.493234769016
20636,2011-11-01,11143.487863367445
20636,2011-12-01,8959.75691499492
20636,2012-01-01,11756.558050038426
20636,2012-02-01,11650.881830685872
20636,2012-03-01,11812.617134753445
20636,2012-04-01,11847.572943678539
20636,2012-05-01,11990.555073969052
20636,2012-06-01,11837.020741534125
20636,2012-07-01,12546.25727844475
20636,2012-08-01,13625.766672196662
20636,2012-09-01,11405.44097577543
20636,2012-10-01,12836.957272708649
20636,2012-11-01,12882.575792579892
20636,2012-12-01,10625.929819182835
20636,2013-01-01,14793.3486186564
20636,2013-02-01,13793.143272052577
20636,2013-03-01,13782.344770356549
20636,2013-04-01,14594.281992118958
20636,2013-05-01,14766.618860402503
20636,2013-06-01,15284.468861552426
20636,2013-07-01,15751.721220222522
20636,2013-08-01,15772.289352883818
20636,2013-09-01,15604.095685915248
20636,2013-10-01,15970.52567301862
20636,2013-11-01,16614.10241265281
20636,2013-12-01,13609.808788520846
20636,2014-01-01,16326.512771377267
20636,2014-02-01,16935.2559178523
20636,2014-03-01,15709.829708446729
20636,2014-04-01,16335.772109585812
20636,2014-05-01,16562.51981597728
20636,2014-06-01,15530.226262884045
20636,2014-07-01,15656.267394995903
20636,2014-08-01,14679.076523357713
20636,2014-09-01,15530.59887055695
20636,2014-10-01,15551.31954224618
20636,2014-11-01,14595.485809475931
20636,2014-12-01,14951.67661491881
20636,2015-01-01,14895.310828179578
20636,2015-02-01,14203.723990873012
20636,2015-03-01,15135.444633761
20636,2015-04-01,14853.193368257373
20636,2015-05-01,13848.660977647365
20636,2015-06-01,14646.60686849404
20636,2015-07-01,14198.676821514591
20636,2015-08-01,14467.468410021396
20636,2015-09-01,15177.425047636276
20636,2015-10-01,14499.526960880641
20636,2015-11-01,14473.359054589806
20636,2015-12-01,14680.158077163547
20636,2016-01-01,13953.678791557259
20636,2016-02-01,12542.898796900712
20636,2016-03-01,13631.965873105042
20636,2016-04-01,12828.525305913088
20636,2016-05-01,13695.162937778749
20636,2016-06-01,13634.703889861683
20636,2016-07-01,12561.414555455183
20636,2016-08-01,13749.817544464153
20636,2016-09-01,14160.091776671845
20636,2016-10-01,14496.746663566395
20636,2016-11-01,15254.710450654718
20636,2016-12-01,14701.263691153874
20636,2017-01-01,15582.568668435155
20636,2017-02-01,17492.010979407525
20636,2017-03-01,18867.84638732714
20636,2017-04-01,16913.267807886314
20636,2017-05-01,18776.71211274353
20636,2017-06-01,22810.96474014119
20636,2017-07-01,20218.624837516294
20636,2017-08-01,21132.495841286185
20636,2017-09-01,20958.75411356211
20636,2017-10-01,20000.154912439015
20636,2017-11-01,21961.206240694224
20636,2017-12-01,23935.867279700404
20636,2018-01-01,24876.51742653722
20636,2018-02-01,23503.269786293884
20636,2018-03-01,24034.108792842097
