date,ipca_ssubj,ipca_full,u_rate,focus,ippcv
2004-04-01,0.04032670515423953,0.05258418041001445,0.105,4.31,0
2004-05-01,0.05158069442911639,0.05153546017902233,0.1027,4.41,0
2004-06-01,0.05158069442911639,0.06059129379421946,0.1017,4.4,0
2004-07-01,0.06548708685149207,0.06810486423989937,0.1,4.42,0
2004-08-01,0.0860156664899252,0.07182931792097813,0.09910000000000001,4.55,0
2004-09-01,0.029183217766152403,0.06704475851273783,0.0964,4.57,0
2004-10-01,0.05535675195010192,0.06864244222869664,0.096,4.59,0
2004-11-01,0.07699021089716718,0.07236830240401071,0.0965,4.63,0
2004-12-01,0.09380689767098382,0.07599495848826421,0.0964,4.62,0
2005-01-01,0.07699021089716718,0.07407308485018449,0.0955,4.8,0
2005-02-01,0.10296140860819403,0.07386300788007771,0.09449999999999999,4.63,0
2005-03-01,0.0847220850251531,0.07535836177474398,0.09269999999999999,4.59,0
2005-04-01,0.04781702541316757,0.08071430138428792,0.0917,4.6,0
2005-05-01,0.04907020753480573,0.08050131615133771,0.09050000000000001,4.59,0
2005-06-01,0.05788102443062115,0.07266918939068834,0.0909,4.53,0
2005-07-01,0.07058560977929629,0.06565665243425745,0.0974,4.55,0
2005-08-01,0.029183217766152403,0.0601557967304871,0.0987,4.46,0
2005-09-01,0.041571673389912966,0.0603660144058642,0.1008,4.39,0
2005-10-01,0.05158069442911639,0.06363640212177768,0.1013,4.4,0
2005-11-01,0.06421593871455888,0.06215760551951477,0.0999,4.38,0
2005-12-01,0.027951830643242026,0.056892268187350936,0.09820000000000001,4.31,0
2006-01-01,0.09641533896712007,0.056999457069084825,0.0967,4.48,0
2006-02-01,0.0821391583647113,0.055107598874363006,0.096,4.43,0
2006-03-01,0.02426576794540325,0.0532215064684034,0.09519999999999999,4.41,0
2006-04-01,0.05283800194081856,0.04633167012435502,0.09519999999999999,4.37,0
2006-05-01,0.05788102443062115,0.04227167317124425,0.096,4.31,0
2006-06-01,0.029183217766152403,0.04029207816768232,0.0967,4.37,0
2006-07-01,0.029183217766152403,0.03966753598535999,0.09609999999999999,4.37,0
2006-08-01,0.029183217766152403,0.03842114370103289,0.09359999999999999,4.34,0
2006-09-01,0.02059182500555745,0.03697183804570536,0.0908,4.29,0
2006-10-01,0.06041083038769557,0.03264888616472117,0.08960000000000001,4.28,0
2006-11-01,0.035360460753407486,0.030182360834576816,0.08810000000000001,4.28,0
2006-12-01,0.05158069442911639,0.031415161315768714,0.08900000000000001,4.26,0
2007-01-01,0.07699021089716718,0.02987813485155022,0.0892,4.05,0
2007-02-01,0.06421593871455888,0.030185643661014616,0.09,4.02,0
2007-03-01,0.03784085996185582,0.02957038373453935,0.0902,4.03,0
2007-04-01,0.030415956913506736,0.029981802167443394,0.0909,3.97,0
2007-05-01,0.04281800719861506,0.031831801566782,0.0897,3.88,0
2007-06-01,0.039083101131259124,0.036898061288305195,0.08779999999999999,3.9,0
2007-07-01,0.012066220495791535,0.03741741881455285,0.0876,3.97,0
2007-08-01,0.07058560977929629,0.041773716659497584,0.0872,3.95,0
2007-09-01,0.045314776982552374,0.041461877269440395,0.0875,4.01,0
2007-10-01,0.06421593871455888,0.04115212062346796,0.0868,4.01,0
2007-11-01,0.07956187072007337,0.04187799704905948,0.0863,4,0
2007-12-01,0.09641533896712007,0.04457658553373722,0.0858,4.08,0
2008-01-01,0.08084981036551553,0.04561479653996092,0.08460000000000001,4.01,0
2008-02-01,0.06548708685149207,0.04613512652949825,0.083,4.04,0
2008-03-01,0.06421593871455888,0.047283109506472965,0.0812,4.12,0
2008-04-01,0.07442416772192484,0.05041627425127149,0.0803,4.08,0
2008-05-01,0.11616115026912555,0.05576029422261297,0.07980000000000001,4.15,0
2008-06-01,0.0860156664899252,0.06060583356434823,0.0795,4.22,0
2008-07-01,0.0860156664899252,0.06367091587904872,0.079,4.28,0
2008-08-01,0.08342991611754491,0.06165817949166241,0.07780000000000001,4.29,0
2008-09-01,0.10164933571080792,0.06250533749689047,0.0766,4.3,0
2008-10-01,0.06421593871455888,0.06409530261467666,0.07519999999999999,4.32,0
2008-11-01,0.056618197194086894,0.06388596927956325,0.0766,4.33,0
2008-12-01,0.07314324889074286,0.059027243906546456,0.0765,4.34,0
2009-01-01,0.10033869371614634,0.05839344298109861,0.0796,4.28,0
2009-02-01,0.1042749138283443,0.059025374751343396,0.081,4.3,0
2009-03-01,0.04281800719861506,0.0560712276602191,0.08259999999999999,4.31,0
2009-04-01,0.07058560977929629,0.055337782830583215,0.0827,4.27,0
2009-05-01,0.06930888671798252,0.05198622240567041,0.0823,4.24,0
2009-06-01,0.05788102443062115,0.04801565436075683,0.0814,4.29,0
2009-07-01,0.056618197194086894,0.04499395676982321,0.087,4.3,0
2009-08-01,0.06041083038769557,0.0436385168159823,0.0875,4.28,0
2009-09-01,0.04281800719861506,0.043431007670667876,0.0894,4.31,0
2009-10-01,0.026721794196593374,0.041663912497434286,0.0888,4.36,0
2009-11-01,0.07956187072007337,0.04218345939725032,0.087,4.38,0
2009-12-01,0.08084981036551553,0.0431165006256784,0.0843,4.38,0
2010-01-01,0.09250481134273913,0.045920859794821745,0.0823,4.42,0
2010-02-01,0.0782753380297514,0.04831099691042273,0.07980000000000001,4.43,0
2010-03-01,0.07058560977929629,0.05166002520001234,0.0794,4.47,0
2010-04-01,0.06167781186449828,0.05260260379320547,0.0789,4.5,0
2010-05-01,0.1042749138283443,0.052184030901821776,0.0794,4.46,0
2010-06-01,0.07058560977929629,0.048410906272117415,0.0785,4.46,0
2010-07-01,0.03784085996185582,0.046005339214987506,0.077,4.46,0
2010-08-01,0.06167781186449828,0.044855439322115886,0.0759,4.5,0
2010-09-01,0.056618197194086894,0.0470421959723093,0.0742,4.47,0
2010-10-01,0.08731066191550552,0.05195061101666876,0.07339999999999999,4.48,0
2010-11-01,0.08990490026994502,0.05634847512198693,0.0737,4.48,0
2010-12-01,0.14843348840566906,0.059086887217945305,0.0736,4.51,0
2011-01-01,0.13084800413622388,0.05992987349599699,0.0747,4.47,0
2011-02-01,0.11086397456076269,0.06014171342034569,0.0723,4.51,0
2011-03-01,0.08860707270679558,0.06298987616320217,0.0711,4.5,0
2011-04-01,0.09772169676117581,0.06510256923504087,0.0716,4.54,0
2011-05-01,0.10164933571080792,0.0655278165324007,0.0702,4.6,0
2011-06-01,0.09250481134273913,0.06712550711406307,0.0711,4.6,0
2011-07-01,0.06548708685149207,0.06872599283200209,0.0713,4.63,0
2011-08-01,0.07314324889074286,0.07225226440980759,0.0722,4.55,0
2011-09-01,0.07570648792618684,0.07310902059629787,0.0722,4.76,0
2011-10-01,0.09250481134273913,0.06970099119292406,0.0712,4.73,0
2011-11-01,0.0782753380297514,0.06641308865574258,0.0699,4.74,0
2011-12-01,0.10954328638178024,0.06503352743680169,0.0704,4.76,0
2012-01-01,0.13219191841842637,0.06217997653937091,0.07339999999999999,4.65,0
2012-02-01,0.10296140860819403,0.058490856474355146,0.07339999999999999,4.68,0
