date,ipca_ssubj,ipca_full,pi_12m_lag,u_rate,focus,ippcv
2006-07-01,2.2555228361771817,3.966753598535999,4.029207816768232,9.82193795138378,4.37,0
2006-08-01,2.8621478033227232,3.842114370103289,3.966753598535999,9.60889406018784,4.34,0
2006-09-01,2.7774342312747002,3.6971838045705363,3.842114370103289,9.584267616760592,4.29,0
2006-10-01,5.543669008405594,3.264888616472117,3.6971838045705363,9.59291434233087,4.28,0
2006-11-01,3.220869578824681,3.0182360834576816,3.264888616472117,9.648408786953022,4.28,0
2006-12-01,5.901825388721615,3.1415161315768714,3.0182360834576816,9.797814073956431,4.26,0
2007-01-01,7.0177566597956265,2.987813485155022,3.1415161315768714,9.793453453398513,4.05,0
2007-02-01,6.369468603019146,3.0185643661014616,2.987813485155022,9.807034621152928,4.02,0
2007-03-01,3.719230844686061,2.957038373453935,3.0185643661014616,9.786276569551502,4.03,0
2007-04-01,3.0463557263912033,2.9981802167443394,2.957038373453935,9.687098205593287,3.97,0
2007-05-01,4.2013263330275885,3.1831801566782003,2.9981802167443394,9.453742148895786,3.88,0
2007-06-01,3.9939467629272807,3.6898061288305195,3.1831801566782003,9.353630354590242,3.9,0
2007-07-01,1.0655385917506477,3.741741881455285,3.6898061288305195,9.380550128752073,3.97,0
2007-08-01,6.680118945725866,4.177371665949758,3.741741881455285,9.178971298040103,3.95,0
2007-09-01,5.7900105504923305,4.1461877269440395,4.177371665949758,9.23137250569636,4.01,0
2007-10-01,6.19049644903471,4.115212062346796,4.1461877269440395,9.158412889454764,4.01,0
2007-11-01,8.231983771940254,4.187799704905948,4.115212062346796,9.126493809559433,4,0
2007-12-01,9.942580045457161,4.457658553373722,4.187799704905948,8.924219948972484,4.08,0
2008-01-01,9.275010585759258,4.561479653996092,4.457658553373722,8.857041913211441,4.01,0
2008-02-01,6.57841997293136,4.613512652949825,4.561479653996092,8.617479278908974,4.04,0
2008-03-01,8.100106488154557,4.7283109506472965,4.613512652949825,8.644376256215871,4.12,0
2008-04-01,7.68075880840875,5.041627425127149,4.7283109506472965,8.556704231733962,4.08,0
2008-05-01,11.643983461960538,5.576029422261297,5.041627425127149,8.815123355424841,4.15,0
2008-06-01,9.218275989142665,6.060583356434823,5.576029422261297,8.691220099216652,4.22,0
2008-07-01,9.493774951946964,6.367091587904872,6.060583356434823,8.361653281751629,4.28,0
2008-08-01,7.706048491628947,6.165817949166241,6.367091587904872,8.435423565366834,4.29,0
2008-09-01,10.359931200393312,6.250533749689047,6.165817949166241,8.085561210014902,4.3,0
2008-10-01,6.835409026270867,6.409530261467666,6.250533749689047,8.086136567618434,4.32,0
